Description,Level 1 Description,Asset Class 2 Description,Asset Class 3 Description,MaintPlant,Equipment,Description.1,New Funct. Location,New Super Funct. Loc,ManufSerialNo.,Manufacturer,Model number,ManufPartNo.,Sort Field,Main WorkCtr,Work center,Planner Group,HSECES Category,ABC Indic.,Plant Section,Object Type,EquipCategory,Superord.Equip.,Catalog Profile,TechIdentNo.,Size/dimens.,ManufCountry
FRM 8PO0195091441YN TO 2D0148096620XN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004034,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-057,,
FRM 4D0088096620X1N TO 4D0119017015X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004035,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-066,,
FRM 14PO0206061441Y1P TO 2D0173016620X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004036,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-072,,
FRM 3/4D0169096620X1N TO 4D0088093842X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004037,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-077,,
FRM DIESEL FILTER(S-6302) TO DRAIN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004038,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008074.0,PM_PIPE,DF-CS-PC-098,,
F&G HEAT DETECTOR ETR-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004046,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004045.0,PM_FDET,FG-ETR-1-HD,,
F&G BEACON AND SOUNDER HB30,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004052,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008103.0,PM_FDET,FG-HB30-BEACON,,
F&G BEACON AND SOUNDER HB31,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004053,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008105.0,PM_FDET,FG-HB31-BEACON,,
F&G-HEAT DETECTOR HB36,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004058,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004057.0,PM_FDET,FG-HB36-HD,,
F&G BEACON AND SOUNDER HB38,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004059,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008117.0,PM_FDET,FG-HB38-BEACON,,
F&G BEACON AND SOUNDER ITR-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004061,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008121.0,PM_FDET,FG-ITR-1-BEACON,,
F&G BEACON AND SOUNDER ITR-14,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004063,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008125.0,PM_FDET,FG-ITR-14-BEACON,,
F&G BEACON AND SOUNDER ITR-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004064,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008127.0,PM_FDET,FG-ITR-2-BEACON,,
F&G BEACON AND SOUNDER ITR-3,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004065,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008129.0,PM_FDET,FG-ITR-3-BEACON,,
FROM HOSE CONN TO 2-PO-0204-091441-X-P,O&GP - Pipeline,Terminal Plant,Loading Hose,2402,11011004075,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-111,,
FRM 2NN0046011412Y1N TO 8PO0206061441Y1P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004076,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-117,,
FRM 2-PA-0001-018011-X-N TO V-6101,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004078,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008155.0,PM_PIPE,PA-CS-PC-101,,
FRM OILWELL AP11 TO 6-PO-0249-096620-X-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004080,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-011,,
FRM 12-PO-0195-091441-Y-P TO LP-1301 N1,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004081,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-019,,
FRM 8PO0165096620XN TO 12PO00183091441YN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004082,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-026,,
FROM RP-1301(N7) TO PSV-1301-01,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004083,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-037,,
FRM 6-PO-0241-091441-Y-N TO(M-0101),O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004084,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-002,,
FRM WELL HEAD-HB32 WV TO CVA-H32P-01,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004085,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-013,,
FRM CD PUMP TO 3-PO-0216-096620-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004086,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-MEC-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-021,,
FRM 3-PO-0216-036620-N TO P-6704,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004087,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-032,,
FROM ITP-143 TO VENT TO ATM,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004090,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011010070.0,PM_PIPE,V-CS-PC-126,,
CLOSED DRAIN DRUM( V-6702),O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011004091,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008181.0,PM_PIPE,VG-CS-PC-128,,
LCR ODA CCTV KEYBOARD CONTROLLER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004108,Telecommunications,1-01-00-CCTV-8300-04,60-00-TF83-LCR-CCTV,,AXIS,T8311+T8312,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,BUD,CM,M,11011004692.0,PM_TCOM,1-01-00-CCTV-8300-04,D109XW364XH181 MM,
33/11kV CGF SUB-STN BEACON AND SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004192,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,BUD,OH,M,11011002095.0,PM_FDET,1-01-00-5801-01-BEACON,,
33/11kV CGF SUB-STATION HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004193,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,BUD,OH,M,11011002095.0,PM_FDET,1-01-00-5801-01-HD,,
F&G SYSTEM CGF LCR BLDG HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004196,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011000524.0,PM_FDET,1-01-00-5802-01-HD,,
EDG SYSTEM F&G FIRE ALARM BEACON-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004324,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,E2S,STEXB2-X10,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_EVEQ,1-01-00-FAB-GD-4201-02,,GB
EDG SYSTEM FIRE & GAS FLAME DETECTORS-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004330,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,AUTRONICA,116-5861-011.4410,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_FDET,1-01-00-FD-GD-4201-02,,NO
EDG SYSTEM FIRE & GAS GAS ALARM BEACON-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004444,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,E2S,STEXB2-X10,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_EVEQ,1-01-00-GB-GD-4201-02,,GB
EDG SYSTEM FIRE & GAS GAS DETECTORS-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004447,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,AUTRONICA,HC300PL,,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_FDET,1-01-00-GD-GD-4201-02,L236XW132XH117 MM,NO
EDG SYSTEM FIRE & GAS HEAT DETECTORS-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004451,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,MEDC,HD1,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_FDET,1-01-00-HD-GD-4201-02,,GB
MULTIPHASE PUMP-03 SPARE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Pumps,2402,11011004583,Oil Export,A-AP-0101-S004,A-AP-0101,,,,,,C-MEC-01,,100,PC03,A,MPP,PU,M,11011002605.0,PM_PMP,1-01-00-P-0903-01,,
PIG LAUNCHER SHUT DOWN VALVE-1 HAND SW,O&GP - Plants,Control Systems,System in General for Control System,2402,11011004610,Oil Export,1-01-00-HS-1301-01,1-01-00-SDV-1301-01,,,,,,C-MEC-01,,100,SD01,A,PIG,LO,M,11011001239.0,PM_MIC,1-01-00-HS-1301-01,,
PIG LAUNCHER 4IN PSV OUTLET BALL VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011004710,Oil Export,1-01-00-LP-1301,A-AP-6000-OF13-01,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011002357.0,PM_VLV,1-01-00-LP-1301-MIV-01,,IN
PIG LAUNCHER 12IN FROM MPP CHECK VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011004716,Oil Export,1-01-00-LP-1301,A-AP-6000-OF13-01,,,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011002357.0,PM_VLV,1-01-00-LP-1301-NRV-01,,
PIG LAUNCHER MOTOR OPERATED VALVE-1,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011004773,Oil Export,1-01-00-MOV-1301-01,1-01-00-LP-1301-VECM,19C701571,L&T VALVES,IQ19F14B4/TMBVSS-16I,HMDI/75000-47197/NG,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011004709.0,PM_VLV,1-01-00-MOV-1301-01,16IN,IN
PIG LAUNCHER MOTOR OPERATED VALVE-3,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011004774,Oil Export,1-01-00-MOV-1301-03,1-01-00-LP-1301-VECM,19C701611,L&T VALVES,IQ12F14B4/TMBVSS-12I,HMDI/75000-47197/NG,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011004709.0,PM_VLV,1-01-00-MOV-1301-03,12IN,IN
PIG LAUNCHER MOV-3 HAND SW,TS&T - Terminals,Terminal Equipment,System in General for Terminal Equipment,2402,11011004775,Oil Export,1-01-00-MVHS-1301-03,1-01-00-MOV-1301-03,,,,,,C-ELE-01,,100,NHSECES,C,ELE,EL,M,11011004774.0,PM_MEL,1-01-00-MVHS-1301-03,,
PIG LAUNCHER SHUT DOWN VALVE-1 SOV,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005062,Oil Export,1-01-00-SSOV-1301-01,1-01-00-SDV-1301-01,,,,,,C-MEC-01,,100,SD01,A,PIG,VA,M,11011001239.0,PM_MIC,1-01-00-SSOV-1301-01,,
PIG LAUNCHER SHUT DOWN VALVE-2 LIMIT SW,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005124,Oil Export,1-01-00-SZSL-1301-02,1-01-00-SDV-1301-02,,,,,,C-MEC-01,,100,NHSECES,A,PIG,SW,M,11011008487.0,PM_MIC,1-01-00-SZSL-1301-02,,
CDB PUMP DISCH LINE SDV POSTN LIMIT SW,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005126,Closed Drains,1-01-00-SZSL-6700-01,1-01-00-SDV-6700-01,,TOPWORX,TXS-G2-1-G-N-M-M-000,4506150907,,C-MEC-01,,100,NHSECES,A,CDS,SW,M,11011002479.0,PM_MIC,1-01-00-SZSL-6700-01,,
LCR PA/GA SYSTEM A CABINET,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005159,Telecommunications,1-01-00-TLC-8800-01,60-00-TF88-CGF-CKT-A,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,ER03,D,BUD,TE,M,11011004692.0,PM_TCOM,1-01-00-TLC-8800-01,D1000XW800XH2000,DE
MPP-1 8IN BALL VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011005206,Oil Export,A-AP-0101-S004,A-AP-0101,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,MPP,VA,M,11011000325.0,PM_VLV,1-01-00-U-0901-MIV-009,8IN,IN
MPP-1 8IN WAFER TYPE BY PASS LINE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011005207,Oil Export,A-AP-0101-S004,A-AP-0101,,ARFLU VALVES,,,,C-MEC-01,,100,NHSECES,C,MPP,VA,M,11011000325.0,PM_VLV,1-01-00-U-0901-NRV-002,8IN,ES
MPP-2 12IN BALL VALVE FRM PRODUCTION HDR,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011005208,Oil Export,A-AP-0101-S004,A-AP-0101,,,,,,C-MEC-01,,100,NHSECES,C,MPP,VA,M,11011008574.0,PM_VLV,1-01-00-U-0902-MIV-001,,
MPP-2 8IN WAFER TYPE BY PASS LINE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011005211,Oil Export,A-AP-0101-S004,A-AP-0101,,,,,,C-MEC-01,,100,NHSECES,C,MPP,VA,M,11011008574.0,PM_VLV,1-01-00-U-0902-NRV-001,,
CGF CDS AREA AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005411,Fire and gas detection,1-01-00-XGAB-5400-02,60-00-FF54-UTLTY-FGS,214287525-41-02,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011002094.0,PM_EVEQ,1-01-00-XGAB-5400-02,L150XW170XH239 MM,GB
CGF CTRL BLDG AIR LOCK RM AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005416,Fire and gas detection,1-01-00-XGAB-5802-03,60-00-FF58-LCR-FACP,,MEDC,XB15B0241506AWDTDPRZ,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_EVEQ,1-01-00-XGAB-5802-03,L150XW150XH239 MM,GB
CLOSED DRAIN/KNOCKOUT DRUM SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005503,Closed Drains,1-01-00-XA-6702-02,60-00-UF67-02-VECM,214287525-72-06,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER07,A,CDS,FG,M,11011008648.0,PM_FDET,1-01-00-XA-6702-02,L185XW280XH200 MM,GB
CGF CIP AREA RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005531,Fire and gas detection,1-01-00-XFAB-5400-01,60-00-FF54-UTLTY-FGS,214287525-32-01,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011002094.0,PM_EVEQ,1-01-00-XFAB-5400-01,L150XW170XH239 MM,GB
CGF SUB-STATION BATTERY RM RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005533,Fire and gas detection,1-01-00-XFAB-5801-01,60-00-FF58-33KV-FACP,,MEDC,XB15UW0240506RWDTDPR,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004192.0,PM_EVEQ,1-01-00-XFAB-5801-01,L150XW150XH239 MM,GB
CGF CTRL BLDG AUXILIARY RM RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005535,Fire and gas detection,1-01-00-XFAB-5802-02,60-00-FF58-LCR-FACP,,MEDC,XB15UW0240506RWDTDPR,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_EVEQ,1-01-00-XFAB-5802-02,L150XW150XH239 MM,GB
CGF CTRL BLDG LAB RM RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005536,Fire and gas detection,1-01-00-XFAB-5802-04,60-00-FF58-LCR-FACP,,MEDC,XB15UW0241506AWDTDPR,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_EVEQ,1-01-00-XFAB-5802-04,L150XW150XH239 MM,GB
CGF CAPACITOR BLDG SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005537,Fire and gas detection,1-01-00-XFAS-5803-01,60-00-FF58-CAP-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000262.0,PM_FDET,1-01-00-XFAS-5803-01,L122XW262X54H MM,GB
CGF CIP AREA SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005539,Fire and gas detection,1-01-00-XFAS-5400-01,60-00-FF54-UTLTY-FGS,214287525-63-01,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011002094.0,PM_FDET,1-01-00-XFAS-5400-01,L185XW280XH200 MM,GB
CGF SUB-STATION BATTERY ROOM SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005540,Fire and gas detection,1-01-00-XFAS-5801-01,60-00-FF58-33KV-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004192.0,PM_FDET,1-01-00-XFAS-5801-01,L122XW262XH154 MM,GB
CGF CTRL BLDG LAB ROOM SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005543,Fire and gas detection,1-01-00-XFAS-5802-04,60-00-FF58-LCR-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_FDET,1-01-00-XFAS-5802-04,L122XW262X54H MM,GB
N2 RECEIVER ON/OFF VALVE SOV,O&GP - Plants,Control Systems,System in General for Control System,2402,11011005555,Nitorgen,1-01-00-XSOV-6901-02,1-01-00-XV-6901-02,,MAXSEAL,Y013AA1V1BS,4506150907,,C-MEC-01,,100,NHSECES,C,N2G,VA,M,11011001357.0,PM_MIC,1-01-00-XSOV-6901-02,1/4IN NPT,
